,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
10,2.0,9782.0,3057.0,5598.0,6273.0,6273.0,3461.0,74.0,1066.0,3461.0,3461.0,3461.0,2571.0,3461.0,3461.0,5425.0,3461.0,3461.0,6552.0,5598.0,3461.0,5351.0,3461.0,3461.0,5821.0,3461.0,3461.0,6199.0,3461.0,3461.0,3226.0,3461.0,3461.0,6273.0,3461.0,3461.0,5598.0,3461.0,3461.0,2783.0,3461.0,3461.0,6430.0,3461.0,3461.0,3234.0,3461.0,3461.0,3354.0,3461.0,3461.0,5946.0,3461.0,3461.0,6898.0,3461.0,3461.0,2401.0,3461.0,3461.0,23.0,1006.0,3461.0,3461.0,21.0,1006.0,3461.0,3461.0,3057.0,3461.0,3461.0,5073.0,3461.0,3461.0,5763.0,3461.0,3461.0,20.0,1006.0,3461.0,3461.0,21.0,1053.0,3461.0,3461.0,22.0,1066.0,3461.0,3461.0,6159.0,3461.0,3461.0,23.0,1053.0,3461.0,3461.0,69.0,1092.0,3461.0,3461.0,69.0,1063.0,3461.0,3461.0,69.0,1077.0,3461.0,3461.0,29.0,1066.0,3461.0,3461.0,26.0,1053.0,3461.0,3461.0,26.0,1006.0,3461.0,3461.0,9547.0,3461.0,3461.0,9461.0,3461.0,3461.0,6541.0,3.0,4.0
11,2.0,9782.0,3057.0,5598.0,6273.0,6273.0,3461.0,74.0,1066.0,3461.0,3461.0,3461.0,2571.0,3461.0,3461.0,5425.0,3461.0,3461.0,6552.0,5598.0,3461.0,5351.0,3461.0,3461.0,5821.0,3461.0,3461.0,6199.0,3461.0,3461.0,3226.0,3461.0,3461.0,6273.0,3461.0,3461.0,5598.0,3461.0,3461.0,2783.0,3461.0,3461.0,6430.0,3461.0,3461.0,3234.0,3461.0,3461.0,3354.0,3461.0,3461.0,5946.0,3461.0,3461.0,6898.0,3461.0,3461.0,2401.0,3461.0,3461.0,23.0,1006.0,3461.0,3461.0,21.0,1006.0,3461.0,3461.0,3057.0,3461.0,3461.0,5073.0,3461.0,3461.0,5763.0,3461.0,3461.0,20.0,1006.0,3461.0,3461.0,21.0,1053.0,3461.0,3461.0,22.0,1066.0,3461.0,3461.0,6159.0,3461.0,3461.0,23.0,1053.0,3461.0,3461.0,69.0,1092.0,3461.0,3461.0,69.0,1063.0,3461.0,3461.0,69.0,1077.0,3461.0,3461.0,29.0,1066.0,3461.0,3461.0,26.0,1053.0,3461.0,3461.0,26.0,1006.0,3461.0,3461.0,9547.0,3461.0,3461.0,9461.0,3461.0,3461.0,6541.0,3.0,4.0
12,2.0,9782.0,3057.0,5598.0,6273.0,6273.0,3461.0,74.0,1066.0,3461.0,3461.0,3461.0,2571.0,3461.0,3461.0,5425.0,3461.0,3461.0,6552.0,5598.0,3461.0,5351.0,3461.0,3461.0,5821.0,3461.0,3461.0,6199.0,3461.0,3461.0,3226.0,3461.0,3461.0,6273.0,3461.0,3461.0,5598.0,3461.0,3461.0,2783.0,3461.0,3461.0,6430.0,3461.0,3461.0,3234.0,3461.0,3461.0,3354.0,3461.0,3461.0,5946.0,3461.0,3461.0,6898.0,3461.0,3461.0,2401.0,3461.0,3461.0,23.0,1006.0,3461.0,3461.0,21.0,1006.0,3461.0,3461.0,3057.0,3461.0,3461.0,5073.0,3461.0,3461.0,5763.0,3461.0,3461.0,20.0,1006.0,3461.0,3461.0,21.0,1053.0,3461.0,3461.0,22.0,1066.0,3461.0,3461.0,6159.0,3461.0,3461.0,23.0,1053.0,3461.0,3461.0,69.0,1092.0,3461.0,3461.0,69.0,1063.0,3461.0,3461.0,69.0,1077.0,3461.0,3461.0,29.0,1066.0,3461.0,3461.0,26.0,1053.0,3461.0,3461.0,26.0,1006.0,3461.0,3461.0,9547.0,3461.0,3461.0,9461.0,3461.0,3461.0,6541.0,3.0,4.0
13,2.0,9782.0,3057.0,5598.0,6273.0,6273.0,3461.0,74.0,1066.0,3461.0,3461.0,3461.0,2571.0,3461.0,3461.0,5425.0,3461.0,3461.0,6552.0,5598.0,3461.0,5351.0,3461.0,3461.0,5821.0,3461.0,3461.0,6199.0,3461.0,3461.0,3226.0,3461.0,3461.0,6273.0,3461.0,3461.0,5598.0,3461.0,3461.0,2783.0,3461.0,3461.0,6430.0,3461.0,3461.0,3234.0,3461.0,3461.0,3354.0,3461.0,3461.0,5946.0,3461.0,3461.0,6898.0,3461.0,3461.0,2401.0,3461.0,3461.0,23.0,1006.0,3461.0,3461.0,21.0,1006.0,3461.0,3461.0,3057.0,3461.0,3461.0,5073.0,3461.0,3461.0,5763.0,3461.0,3461.0,20.0,1006.0,3461.0,3461.0,21.0,1053.0,3461.0,3461.0,22.0,1066.0,3461.0,3461.0,6159.0,3461.0,3461.0,23.0,1053.0,3461.0,3461.0,69.0,1092.0,3461.0,3461.0,69.0,1063.0,3461.0,3461.0,69.0,1077.0,3461.0,3461.0,29.0,1066.0,3461.0,3461.0,26.0,1053.0,3461.0,3461.0,26.0,1006.0,3461.0,3461.0,9547.0,3461.0,3461.0,9461.0,3461.0,3461.0,6541.0,3.0,4.0
14,2.0,9782.0,3057.0,5598.0,6273.0,6273.0,3461.0,74.0,1066.0,3461.0,3461.0,3461.0,2571.0,3461.0,3461.0,5425.0,3461.0,3461.0,6552.0,5598.0,3461.0,5351.0,3461.0,3461.0,5821.0,3461.0,3461.0,6199.0,3461.0,3461.0,3226.0,3461.0,3461.0,6273.0,3461.0,3461.0,5598.0,3461.0,3461.0,2783.0,3461.0,3461.0,6430.0,3461.0,3461.0,3234.0,3461.0,3461.0,3354.0,3461.0,3461.0,5946.0,3461.0,3461.0,6898.0,3461.0,3461.0,2401.0,3461.0,3461.0,23.0,1006.0,3461.0,3461.0,21.0,1006.0,3461.0,3461.0,3057.0,3461.0,3461.0,5073.0,3461.0,3461.0,5763.0,3461.0,3461.0,20.0,1006.0,3461.0,3461.0,21.0,1053.0,3461.0,3461.0,22.0,1066.0,3461.0,3461.0,6159.0,3461.0,3461.0,23.0,1053.0,3461.0,3461.0,69.0,1092.0,3461.0,3461.0,69.0,1063.0,3461.0,3461.0,69.0,1077.0,3461.0,3461.0,29.0,1066.0,3461.0,3461.0,26.0,1053.0,3461.0,3461.0,26.0,1006.0,3461.0,3461.0,9547.0,3461.0,3461.0,9461.0,3461.0,3461.0,6541.0,3.0,4.0
15,2.0,9782.0,3057.0,5598.0,6273.0,6273.0,3461.0,74.0,1066.0,3461.0,3461.0,3461.0,2571.0,3461.0,3461.0,5425.0,3461.0,3461.0,6552.0,5598.0,3461.0,5351.0,3461.0,3461.0,5821.0,3461.0,3461.0,6199.0,3461.0,3461.0,3226.0,3461.0,3461.0,6273.0,3461.0,3461.0,5598.0,3461.0,3461.0,2783.0,3461.0,3461.0,6430.0,3461.0,3461.0,3234.0,3461.0,3461.0,3354.0,3461.0,3461.0,5946.0,3461.0,3461.0,6898.0,3461.0,3461.0,2401.0,3461.0,3461.0,23.0,1006.0,3461.0,3461.0,21.0,1006.0,3461.0,3461.0,3057.0,3461.0,3461.0,5073.0,3461.0,3461.0,5763.0,3461.0,3461.0,20.0,1006.0,3461.0,3461.0,21.0,1053.0,3461.0,3461.0,22.0,1066.0,3461.0,3461.0,6159.0,3461.0,3461.0,23.0,1053.0,3461.0,3461.0,69.0,1092.0,3461.0,3461.0,69.0,1063.0,3461.0,3461.0,69.0,1077.0,3461.0,3461.0,29.0,1066.0,3461.0,3461.0,26.0,1053.0,3461.0,3461.0,26.0,1006.0,3461.0,3461.0,9547.0,3461.0,3461.0,9461.0,3461.0,3461.0,6541.0,3.0,4.0
16,2.0,9782.0,3057.0,5598.0,6273.0,6273.0,3461.0,74.0,1066.0,3461.0,3461.0,3461.0,2571.0,3461.0,3461.0,5425.0,3461.0,3461.0,6552.0,5598.0,3461.0,5351.0,3461.0,3461.0,5821.0,3461.0,3461.0,6199.0,3461.0,3461.0,3226.0,3461.0,3461.0,6273.0,3461.0,3461.0,5598.0,3461.0,3461.0,2783.0,3461.0,3461.0,6430.0,3461.0,3461.0,3234.0,3461.0,3461.0,3354.0,3461.0,3461.0,5946.0,3461.0,3461.0,6898.0,3461.0,3461.0,2401.0,3461.0,3461.0,23.0,1006.0,3461.0,3461.0,21.0,1006.0,3461.0,3461.0,3057.0,3461.0,3461.0,5073.0,3461.0,3461.0,5763.0,3461.0,3461.0,20.0,1006.0,3461.0,3461.0,21.0,1053.0,3461.0,3461.0,22.0,1066.0,3461.0,3461.0,6159.0,3461.0,3461.0,23.0,1053.0,3461.0,3461.0,69.0,1092.0,3461.0,3461.0,69.0,1063.0,3461.0,3461.0,69.0,1077.0,3461.0,3461.0,29.0,1066.0,3461.0,3461.0,26.0,1053.0,3461.0,3461.0,26.0,1006.0,3461.0,3461.0,9547.0,3461.0,3461.0,9461.0,3461.0,3461.0,6541.0,3.0,4.0
17,2.0,9782.0,3057.0,5598.0,6273.0,6273.0,3461.0,74.0,1066.0,3461.0,3461.0,3461.0,2571.0,3461.0,3461.0,5425.0,3461.0,3461.0,6552.0,5598.0,3461.0,5351.0,3461.0,3461.0,5821.0,3461.0,3461.0,6199.0,3461.0,3461.0,3226.0,3461.0,3461.0,6273.0,3461.0,3461.0,5598.0,3461.0,3461.0,2783.0,3461.0,3461.0,6430.0,3461.0,3461.0,3234.0,3461.0,3461.0,3354.0,3461.0,3461.0,5946.0,3461.0,3461.0,6898.0,3461.0,3461.0,2401.0,3461.0,3461.0,23.0,1006.0,3461.0,3461.0,21.0,1006.0,3461.0,3461.0,3057.0,3461.0,3461.0,5073.0,3461.0,3461.0,5763.0,3461.0,3461.0,20.0,1006.0,3461.0,3461.0,21.0,1053.0,3461.0,3461.0,22.0,1066.0,3461.0,3461.0,6159.0,3461.0,3461.0,23.0,1053.0,3461.0,3461.0,69.0,1092.0,3461.0,3461.0,69.0,1063.0,3461.0,3461.0,69.0,1077.0,3461.0,3461.0,29.0,1066.0,3461.0,3461.0,26.0,1053.0,3461.0,3461.0,26.0,1006.0,3461.0,3461.0,9547.0,3461.0,3461.0,9461.0,3461.0,3461.0,6541.0,3.0,4.0
18,2.0,7099.0,7500.0,24.0,1066.0,7766.0,2146.0,22.0,1066.0,7969.0,9547.0,8096.0,6763.0,26.0,1066.0,22.0,1025.0,10143.0,8527.0,9257.0,20.0,1005.0,20.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
19,2.0,7099.0,7500.0,24.0,1066.0,7766.0,2146.0,7637.0,24.0,1005.0,7153.0,3049.0,3049.0,4673.0,22.0,1025.0,6763.0,10309.0,6763.0,20.0,1005.0,20.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
20,2.0,7099.0,7500.0,24.0,1066.0,7766.0,2146.0,22.0,1066.0,7383.0,7969.0,22.0,1025.0,10143.0,8527.0,9257.0,20.0,1005.0,20.0,1006.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
